path	author	sex	birthday	header	created	sphere	genre_fi	type	topic	chronotop	style	audience_age	audience_level	audience_size	source	publication	publisher	publ_year	medium	country	region	language
				О змее, футболе и божьей воле	27.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/348-o-zmee-futbole-i-bozhej-vole?tmpl=component&print=1	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Число победителей растёт	13.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obrazovanie/item/406-chislo-pobeditelej-rastjot	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				С новосельем, «молодёжка»!	06.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/386-s-novoselem-molodjozhka	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Лыжня объединяет	17.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/sport/item/418-lyzhnya-ob-edinyaet	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Два угона	23.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/bud-v-kurse/item/339-dva-ugona	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Митинг памяти	17.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/421-miting-pamyati?tmpl=component&print=1	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Ледовые дружины не спят	27.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/sport/item/349-ledovye-druzhiny-ne-spyat	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Снегоходы на осмотр!	17.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/bud-v-kurse/item/410-snegokhody-na-osmotr	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Чтобы люди  ценили мир	03.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/371-chtoby-lyudi-tsenili-mir	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Как распознать свиной грипп?	30.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/zdorove/item/361-kak-raspoznat-svinoj-gripp	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Угарный газ - невидимый убийца	03.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/bud-v-kurse/item/366-ugarnyj-gaz-nevidimyj-ubijtsa	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Вера Галеева: «Рождению ребёнка радуются родители и микробы»	17.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/zdorove/item/422-vera-galeeva-rozhdeniyu-rebjonka-raduyutsya-roditeli-i-mikroby#startOfPageId422	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Лыжня объединяет	17.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/sport/item/418-lyzhnya-ob-edinyaet#startOfPageId418	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Подготовка к выборам-2016	17.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/politika/item/417-v-beloretskom-rajone-nachalas-podgotovka-k-provedeniyu-izbiratelnykh-kampanij-2016-goda	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Рустэм Хамитов: «Мы – надежные люди!» (интервью журналу «Государственная служба»)	15.09.2015	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/ekonomika/item/248-rustem-khamitov-my-nadezhnye-lyudi-intervyu-zhurnalu-gosudarstvennaya-sluzhba	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Меняться – вместе, и только к лучшему	13.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/312-menyatsya-vmeste-i-tolko-k-luchshemu	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Берегите своё время	13.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/bud-v-kurse/item/314-beregite-svojo-vremya#startOfPageId314	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Сказка на все времена	06.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/kultura/item/306-skazka-na-vse-vremena	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Домна, план и капелька шампанского	20.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/ekonomika/item/253-domna-plan-i-kapelka-shampanskogo	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Белоречане не уступают питерцам	16.01.2015	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/sport/item/320-belorechane-ne-ustupayut-pitertsam?tmpl=component&print=1	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Не пропустите льготную подписку!	17.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/bud-v-kurse/item/415-ne-propustite-lgotnuyu-podpisku?tmpl=component&print=1	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Легенда рождается на наших глазах	13.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/ekonomika/item/409-legenda-rozhdaetsya-na-nashikh-glazakh#startOfPageId409	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Митинг памяти	17.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/421-miting-pamyati#startOfPageId421	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				«Ювелирному» цеху – 40 лет	27.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/ekonomika/item/342-yuvelirnomu-tsekhu-40-let	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Изобретательные мошенники	30.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/bud-v-kurse/item/363-izobretatelnye-moshenniki	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Успехи юных географов	30.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obrazovanie/item/355-uspekhi-yunykh-geografov	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Фёдор повстречал Федерико	27.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/346-fjodor-povstrechal-federiko	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Не платишь алименты – ходи пешком	20.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/bud-v-kurse/item/334-ne-platish-alimenty-khodi-peshkom	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Не пропустите льготную подписку!	17.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/bud-v-kurse/item/415-ne-propustite-lgotnuyu-podpisku#startOfPageId415	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				У вуза вкус особенный!	20.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obrazovanie/item/332-u-vuza-vkus-osobennyj	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Продолжается приём работ на конкурс "Я служу России!"	10.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/400-gorzhus-tem-chto-ya-zhena-ofitsera	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Что сказал Глава республики	12.11.2015	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/politika/item/225-chto-skazal-glava-respubliki	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Дома и стены помогают	03.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/sport/item/372-doma-i-steny-pomogayut	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Свиной грипп пришёл в Белорецк	27.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/zdorove/item/343-svinoj-gripp-prishjol-v-beloretsk#startOfPageId343	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Вера Галеева: «Рождению ребёнка радуются родители и микробы»	17.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/zdorove/item/422-vera-galeeva-rozhdeniyu-rebjonka-raduyutsya-roditeli-i-mikroby?tmpl=component&print=1	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Азия встречает своих сыновей	17.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/420-aziya-vstrechaet-svoikh-synovej#startOfPageId420	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Фермеры получат заброшенную землю почти даром	13.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/bud-v-kurse/item/408-fermery-poluchat-zabroshennuyu-zemlyu-pochti-darom	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Скромный герой	20.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/328-skromnyj-geroj	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Вера Галеева: «Рождению ребёнка радуются родители и микробы»	17.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/zdorove/item/422-vera-galeeva-rozhdeniyu-rebjonka-raduyutsya-roditeli-i-mikroby	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Найдена управа на семейных дебоширов	13.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/316-najdena-uprava-na-semejnykh-deboshirov	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				О змее, футболе и божьей воле	27.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/348-o-zmee-futbole-i-bozhej-vole	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Не пропустите льготную подписку!	17.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/bud-v-kurse/item/415-ne-propustite-lgotnuyu-podpisku	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Пойдём в кино!	13.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/kultura/item/319-pojdjom-v-kino?tmpl=component&print=1	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Работаем в обычном режиме	06.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/bud-v-kurse/item/389-rabotaem-v-obychnom-rezhime	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Как распознать свиной грипп?	30.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/zdorove/item/361-kak-raspoznat-svinoj-gripp?tmpl=component&print=1	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Учиться никогда не поздно	06.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/bud-v-kurse/item/383-uchitsya-nikogda-ne-pozdno	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Итоги читательского марафона	13.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/bud-v-kurse/item/404-itogi-chitatelskogo-marafona	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Одна машина на двоих	20.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/bud-v-kurse/item/329-odna-mashina-na-dvoikh?tmpl=component&print=1	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Актуальная сортировка	03.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/ekonomika/item/368-aktualnaya-sortirovka	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Сделай селфи с бабушкой! Победителей ждут призы!	06.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/384-sdelaj-selfi-s-babushkoj?tmpl=component&print=1	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Побеждают молодость и доблесть	17.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/sport/item/413-pobezhdayut-molodost-i-doblest	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Найдена управа на семейных дебоширов	13.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/316-najdena-uprava-na-semejnykh-deboshirov?tmpl=component&print=1	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Дарим детям чудеса	06.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/309-darim-detyam-chudesa	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Спектакль – за любовь к чтению	13.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/kultura/item/318-spektakl-za-lyubov-k-chteniyu	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Волшебство у главной ёлки	06.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/223-volshebstvo-u-glavnoj-jolki	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Как мы прожили год?	16.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/323-kak-my-prozhili-god	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Одна машина на двоих	20.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/bud-v-kurse/item/329-odna-mashina-na-dvoikh	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Семейный спектакль	06.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/kultura/item/307-semejnyj-spektakl	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Встречи повзрослевших одноклассников	10.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/obshchestvo/item/397-vstrechi-povzroslevshikh-odnoklassnikov?tmpl=component&print=1	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Мадина Сайфиддинова – лучший голос Белоречья	16.01.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/kultura/item/324-madina-sajfiddinova-luchshij-golos-belorechya	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Побеждают молодость и доблесть	17.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/sport/item/413-pobezhdayut-molodost-i-doblest#startOfPageId413	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Лыжня объединяет	17.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/sport/item/418-lyzhnya-ob-edinyaet?tmpl=component&print=1	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Белорецк на большом экране	06.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/kultura/item/387-beloretsk-na-bolshom-ekrane	Белорецкий рабочий			газета	Россия	Белорецкий	ru
				Праздник для детей и взрослых	10.02.2016	публицистика					нейтральный	н-возраст	н-уровень	районная	http://www.belrab.ru/rubriki/sport/item/391-prazdnik-dlya-detej-i-vzroslykh	Белорецкий рабочий			газета	Россия	Белорецкий	ru
